"crop","pest","pest_species","plant_stage","symptom_leaf_damage","symptom_yellowing","symptom_curling","symptom_spots","symptom_holes","symptom_wilting","pest_density","affected_area_percent","severity","economic_threshold","temperature","humidity","season","intervention","recommendation_class","active_ingredient","formulation","dose","application_method","symptom_text","evidence_type","source","source_date"
"Wheat","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Maize","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Soybean","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Sugarcane","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Tomato","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Potato","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Groundnut","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Chickpea","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Pigeon Pea","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Other","Bees","Beneficial bee species","Crop flowering stage","0","0","0","0","0","0","Monitor bee activity, especially during flowering","","","Not applicable - beneficial pollinator","","","","Protect bees and avoid unnecessary pesticide applications during flowering. Use integrated pest management and preserve flowering habitats and pollinator activity.","beneficial_insect_protection","","","","","Bees are beneficial pollinators and their presence is not evidence of a crop pest infestation.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Cotton","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Rice","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Wheat","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Maize","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Soybean","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Sugarcane","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Tomato","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Potato","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Groundnut","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Chickpea","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Pigeon Pea","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Other","Earthworms","Beneficial earthworm species","All crop growth stages","0","0","0","0","0","0","Monitor soil health and earthworm activity","","","Not applicable - beneficial soil organism","","","","Protect earthworms and maintain healthy soil conditions. Avoid unnecessary pesticide applications and excessive soil disturbance.","beneficial_soil_organism_protection","","","","","Earthworms are beneficial soil organisms that improve soil structure and nutrient cycling; their presence is not evidence of a crop pest infestation.","Beneficial organism protection","AgroGuard advisory dataset - beneficial organism protection",""
"Cotton","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Earwigs","Crop-specific earwig species","Crop growth stage","1","0","0","0","1","0","Monitor earwig activity and crop feeding damage","","","Use crop-specific economic threshold","","","","Confirm earwig species and assess crop damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","earwig_management","","","","","Earwigs may cause feeding damage such as holes or chewing injury; confirm the pest and assess crop damage before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Slugs","Crop-specific slug species","Crop growth stage","1","0","0","0","1","0","Monitor slug activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm slug damage before treatment. Use integrated pest management, field sanitation, removal of hiding places and monitoring before considering any intervention.","slug_management","","","","","Slugs may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Rice","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Wheat","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Maize","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Soybean","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Sugarcane","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Tomato","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Potato","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Groundnut","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Chickpea","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Pigeon Pea","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Other","Snails","Crop-specific snail species","Crop growth stage","1","0","0","0","1","0","Monitor snail activity and feeding damage, especially under moist conditions","","","Use crop-specific economic threshold","","","","Confirm snail damage before treatment. Use integrated pest management, field sanitation and monitoring before considering any intervention.","snail_management","","","","","Snails may cause irregular holes and chewing damage, particularly under moist conditions; confirm the pest before intervention.","IPM guidance","AgroGuard advisory dataset - crop-specific validation required",""
"Cotton","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Rice","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Wheat","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Maize","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Soybean","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
"Sugarcane","Wasps","Beneficial or crop-associated wasp species","All crop growth stages","0","0","0","0","0","0","Monitor wasp activity and inspect the crop for actual damage","","","Not applicable without confirmed pest identification","","","","Do not treat wasps solely because they are detected. Many wasps are beneficial predators or parasitoids. Confirm species and actual crop damage before intervention and protect beneficial insects.","beneficial_insect_protection","","","","","Wasp presence alone is not evidence of a crop pest infestation; many wasps provide natural biological control.","Beneficial insect protection","AgroGuard advisory dataset - beneficial insect protection",""
